Job Title,Company Name,Location,Experience,Salary,Job Description
Hiring Quality Analyst (QA) From Tech Sales BPO Call,DK Business Patron Private Limited,Delhi,3-4 years,Not Specified,Job Description:Candidates With Excellent Communication onlyExperience AS QA Tech Sales MustStrong Knowledge On Quality ToolsSalary Upto 30 kFemale PreferredSalary  / Mealcall 9582203345 / 8178443320Desired Candidate ProfileOnly from tech support BPO QA RequiredSalary Depend on last drawn / relevant Experience / F2F Interviewonly Immediate Joiners requiredDon't call if not serious for Job
Business Development Manager/Executive -Sales and Marketing,Orygin,Pune,0-1 years,Not Specified,	Representing the clients.	Create brand awareness.	Develop creative strategies to increase customer acquisition for the client.	Motivate and drive the team towards a common goal
HR Executive Recruitment ,Ross Warner Hr Solutions,Mumbai,0-1 years,Not Specified,We are a recruitment firm specialized in international recruitment. We have been operational since 9th September 2007 as per the companies act. We are ISO certified company. We have an urgent requirement within our organization for the role of HR Freshers  Graduate/ undergraduate/Post graduate / in all streams and field
Front Office Executive ,Smart Training Resources India Private Limited,Chennai,0-5 years,Not Specified,"WelcomeCustomersFrontoffice executives greet everyone who enters. This action sets up a positive interaction that reflects well on the employer.AnswerPhonesTake care of incoming calls. They provide basic information, such as hours of operation or directions to the place, and direct other inquiries to the appropriate staff member. Also should get all required details(Name, Purpose etc,)from out bound calls then only should transfer the call after checking the availabilityDaily ReportMorning Report:Should track the In Time for every employee in separate excelsheet for both Office staff members and for Trainer in Separate ExcelSheets."
Inspection Engineer ,Phistream Consulting Private Limited,"Faridabad
                                                ,
                                                Palwal",0-1 years,Not Specified,We are Hiring B.tech/B.E Mechnical Graduate for City Gas Distruibution Project.We will be Providing Training Programs alongwith Sites Visits
HDFC Life Insurance @ Sales Development Manager ,Hr Remedy India,"Mumbai
                                                ,
                                                Mumbai City
                                                ,
                                                Navi Mumbai
                                                ,
                                                Thane",1-9 years,Not Specified,"Dear Candidate,Hiring for HDFC Life Insurance !!!!Qualification - GraduationExperience - Minimum 1 year required in sales.Salary - ctc upto 3.5lpa  + incentive + allowancesIndustry - InsuranceFunctional area - salesRole:100%lead will be provided.u have to Handle the walk ins of the bank branches and generate leads through that.Call the clients and sell them policy.Maintain good relations with the clients and sell them policy.Brief about the product & policy to the clients.Good communication skills required.Willingness to travel.Confident, aggressive and result oriented.Interested candidate can share CV on [HIDDEN TEXT] or, direct call on 9112240324 for further details.Regards,Nayana Hr recruiter"
Telesales Executive ,Rohit associates,Delhi,0-3 years,Not Specified,"JOBDESCRIPTION:-1. Responsible for entire student admission cycle: own lead generation, prospecting, follow-ups, counseling, admission, orientation,support, retention and productive output.2. Attending inbound calls and making outbound calls.3. Need to provide information to students about all the courses provided by institute and to convince them.4. Responsible for achieving weekly and monthly admission target.5. Handling of day to day telephonic and walk-in inquiries of an institute. 6. Responsible for admission process & documentation and collect the fee.7. Managing the MIS report on day to day basis & sending daily performance report of the team to the immediate superior."
Walk in Senior Phone Banking Officer - Deputy Manager -Virtual Relationship Manager,Hy Fly Consultancy,"Pune
                                                ,
                                                Mumbai City
                                                ,
                                                Navi Mumbai
                                                ,
                                                Thane",1-11 years,Not Specified,No 1 Pvt Bank Payroll in Their PremisesLoc-Andheri/ThaneSalary-12k to19kShift-9 hours between 9 am to 8 pmSun Off and alternate Sat OffQualification-Graduate in any Field(Except BTech)Process-Inbound/Outbound/Phone BankingCall 8169642494 Sarah
Receptionist ,SR Group HR Consultancy,Mumbai City,0-2 years,Not Specified,Urgent vacancy for receptionist for one of the growing reputed firm in mumbaiWALKING INTERVIEW IS GOING ON INTERVIEW DATE- 16TH MARCH 2020 TO 21ST MARCH 2020Plz contact sonali mam- 9136116654 JOB DESCRIPTION-*want fresher or 2 yrs experience person *should have good in hindi and average english speaking candidate. *taking calls and transfer to proper department.*recieving couriers etc.*all front desk work handle.*qualification 12th or any graduate person.*age upto 23 to 30prefer near by candidates of bandraplz call and come for the interview contact miss.sonali - 9136116654 or mail ur cv on [HIDDEN TEXT]
Hiring going on For Collection and real estate process,Conneqt Business Solutions Limited,Noida,0-1 years,Not Specified,Immediate joiner require for Collection and Tata value homes for noida location
Grab the opportunity with CMMI Level 5 Company YASH Technologies for PUNE Location...........!!!,Yash Technologies Private Limited,Pune,2-6 years,Not Specified,"Greetings of the Day....!!Are you Marathi / From Maharashtra looking for Homeland here is the great opportunity with YASH Technologies for PUNE.We are hiring for Pune from Bangalore.We are looking for1)	Java Back end developers (Core Java , Spring, Hibernate, Rest Web services)                                           (Or)2)	Full stack Developers with Java combination of Angular. Please help us with below details to share call letter.Full name:Exp:CTC:ECTC:NP:Willing to work from Magarpatta (Pune) - (Yes/No):Willing to attend F2F @ Bangalore Whitefield 28th Mar 2020: (Yes/No):If you are not looking please circulate in your contacts they might get benefit appreciate to those who sharing in their contacts..... !!!"
Pega Developers_16th March 20 -20th March 20 (Monday- Friday) Walk in Drive In Hyderabad with Ness ,Ness Technologies India Private Limited,Hyderabad / Secunderabad,4-12 years,Not Specified,	4 to 12 years of experience 	Experience on 7.x version 	Rule Resolution 	Case Management 	UI 	Data Pages 	Decision Rule Types 	Reports 	Agents 	Integrations 	Pega Unit Test Cases
Freshers  - B.E / B.Tech (Mech / Automobile / Aeronautical) :: Walkin Only,Ren Info,Chennai,0-1 years,Not Specified,Position : Mechanical EngineerDegree : B.E / B.Tech (Mech / Automobile / Aeronautical)YOP : 2018 / 2019% of Marks : 55%Preffered : ERP Knowledge
Immediate Opening for Business Developement executive@ Chennai,Glenn Star technologies Private Limited,Chennai,0-1 years,Not Specified,"Greetings From Glenn Star Technologies..JD:BDE (Field work Must)Exp: 0 to 1 yrsLocation:  ChennaiPlease share us the below details along with your updated profile if found suitable to your expertise .Total Exp                             :      Rel Exp                                 :      CTC                                        :    ECTC                                      :    Notice Period                    :    Current Employer            :    D.O.B.                                   :      Current Location              :      Reason for job change   :      Offers in Pipeline            :Highest Qualification /Year of Passing       Available for F2F interview on Weekdays:   Regards,AlekhyaHR RecruiterM:9985371462"
Selenium Java 6 Months C2H BAN 14  MAR 2020,BR Raysoft Global Private Limited,Bengaluru / Bangalore,5-14 years,Not Specified,"We need  Selenium Java Script for 6 Months Contract cum hire for CMM 5 US MNC at PuneWalk in on this Satrurday at Bangalore.	Skill : Selenium, Webdriver, Java and Java ScriptQUALIFICATION : BCA / B.E / B/TechExp 5 +yrsSalary 12- 14 LPANotice 15 daysCODE :  Selenium Java 6 Months C2H BAN 14  MAR 2020 Send CV to balaji@brraysoft .com Give below details	Current and expected salaryHow soon u can joinVisit us at linkedin. com/company/14543897/admin/RegdsBALAJI9381035905BR Raysoft Global"
IT Recruiter ,Sellcraft Global Solutions Private Limited,Pune,0-3 years,Not Specified,"IT Recruiter / Fresher Recruiter Exp: 0 - 3 Yrs-End to end Recruitment.-Sourcing profiles from Job Portals,screening them as per JD.-Maintaining Database, tracker and details."
